1,Team,Game,Date,Home,Opponent,WINorLOSS,TeamPoints,OpponentPoints,FieldGoals,FieldGoalsAttempted,FieldGoals.,X3PointShots,X3PointShotsAttempted,X3PointShots.,FreeThrows,FreeThrowsAttempted,FreeThrows.,OffRebounds,TotalRebounds,Assists,Steals,Blocks,Turnovers,TotalFouls,Opp.FieldGoals,Opp.FieldGoalsAttempted,Opp.FieldGoals.,Opp.3PointShots,Opp.3PointShotsAttempted,Opp.3PointShots.,Opp.FreeThrows,Opp.FreeThrowsAttempted,Opp.FreeThrows.,Opp.OffRebounds,Opp.TotalRebounds,Opp.Assists,Opp.Steals,Opp.Blocks,Opp.Turnovers,Opp.TotalFouls
153,CHO,14,11/23/2014,Away,MIA,L,93,94,37,79,0.468,7,21,0.333,12,16,0.75,5,33,18,9,1,11,19,33,66,0.5,11,23,0.478,17,19,0.895,3,36,19,4,5,16,16
163,CHO,15,11/24/2014,Home,LAC,L,92,113,31,75,0.413,2,20,0.1,28,35,0.8,5,33,21,6,4,5,17,45,88,0.511,15,32,0.469,8,10,0.8,8,43,28,2,2,8,24
173,CHO,16,11/26/2014,Home,POR,L,97,105,41,94,0.436,5,15,0.333,10,15,0.667,10,47,29,3,5,6,20,39,92,0.424,12,27,0.444,15,20,0.75,10,50,21,4,7,8,18
183,CHO,17,11/28/2014,Home,GSW,L,101,106,38,87,0.437,6,19,0.316,19,23,0.826,8,44,27,4,8,13,14,42,99,0.424,7,26,0.269,15,16,0.938,16,46,28,7,8,12,26
193,CHO,18,11/29/2014,Away,ATL,L,75,105,29,88,0.33,5,23,0.217,12,16,0.75,13,38,20,3,4,12,16,40,75,0.533,12,23,0.522,13,16,0.813,5,44,31,8,5,12,17
203,CHO,19,12/3/2014,Home,CHI,L,95,102,36,90,0.4,2,15,0.133,21,23,0.913,7,42,17,5,3,5,21,37,80,0.463,12,28,0.429,16,21,0.762,4,49,27,4,1,11,18
215,CHO,20,12/5/2014,Home,NYK,W,103,102,42,88,0.477,4,18,0.222,15,18,0.833,10,41,19,2,7,7,20,37,79,0.468,10,22,0.455,18,22,0.818,4,34,23,5,4,6,21
223,CHO,21,12/10/2014,Home,BOS,W,96,87,35,84,0.417,3,14,0.214,23,29,0.793,7,44,18,5,3,10,14,38,87,0.437,5,23,0.217,6,10,0.6,6,45,26,3,1,14,27
233,CHO,22,12/12/2014,Away,MEM,L,107,113,41,98,0.418,6,17,0.353,19,27,0.704,13,49,16,8,11,14,29,39,85,0.459,6,13,0.462,29,38,0.763,7,47,21,7,9,20,22
243,CHO,23,12/13/2014,Home,BRK,L,87,114,31,79,0.392,8,22,0.364,17,27,0.63,9,34,16,3,4,6,19,42,72,0.583,16,23,0.696,14,20,0.7,4,43,29,4,4,13,24
253,CHO,24,12/15/2014,Away,CLE,L,88,97,38,83,0.458,5,16,0.313,7,14,0.5,5,37,22,4,5,10,14,38,83,0.458,9,24,0.375,12,17,0.706,8,43,28,10,5,10,14
263,CHO,25,12/17/2014,Home,PHO,L,106,111,40,86,0.465,10,24,0.417,16,22,0.727,8,35,22,6,3,6,16,43,82,0.524,9,25,0.36,16,21,0.762,8,43,22,4,7,8,15
