1,Team,Game,Date,Home,Opponent,WINorLOSS,TeamPoints,OpponentPoints,FieldGoals,FieldGoalsAttempted,FieldGoals.,X3PointShots,X3PointShotsAttempted,X3PointShots.,FreeThrows,FreeThrowsAttempted,FreeThrows.,OffRebounds,TotalRebounds,Assists,Steals,Blocks,Turnovers,TotalFouls,Opp.FieldGoals,Opp.FieldGoalsAttempted,Opp.FieldGoals.,Opp.3PointShots,Opp.3PointShotsAttempted,Opp.3PointShots.,Opp.FreeThrows,Opp.FreeThrowsAttempted,Opp.FreeThrows.,Opp.OffRebounds,Opp.TotalRebounds,Opp.Assists,Opp.Steals,Opp.Blocks,Opp.Turnovers,Opp.TotalFouls
840,ORL,7,11/9/2014,Away,BRK,L,96,104,39,75,0.52,8,15,0.533,10,16,0.625,5,31,25,7,2,17,24,40,83,0.482,4,14,0.286,20,23,0.87,14,45,23,10,5,14,21
921,ORL,8,11/11/2014,Away,TOR,L,100,104,39,81,0.481,12,25,0.48,10,16,0.625,6,39,26,8,5,16,24,35,77,0.455,9,21,0.429,25,30,0.833,5,40,16,9,1,12,17
1021,ORL,9,11/12/2014,Away,NYK,W,97,95,33,70,0.471,6,12,0.5,25,32,0.781,4,37,20,4,1,10,19,37,86,0.43,8,23,0.348,13,14,0.929,11,40,17,2,6,7,27
1125,ORL,10,11/14/2014,Home,MIL,W,101,85,35,80,0.438,10,24,0.417,21,27,0.778,10,45,22,7,3,15,15,36,80,0.45,2,19,0.105,11,14,0.786,5,38,19,8,4,16,25
1223,ORL,11,11/15/2014,Away,WAS,L,93,98,37,78,0.474,7,17,0.412,12,18,0.667,9,40,14,5,2,15,21,42,84,0.5,3,10,0.3,11,16,0.688,9,40,31,5,8,11,16
1321,ORL,12,11/17/2014,Away,DET,W,107,93,41,79,0.519,13,26,0.5,12,15,0.8,6,39,33,9,2,11,21,32,80,0.4,11,24,0.458,18,24,0.75,10,41,17,5,4,14,19
1421,ORL,13,11/19/2014,Home,LAC,L,90,114,34,86,0.395,8,24,0.333,14,18,0.778,11,48,21,5,1,13,17,45,84,0.536,12,21,0.571,12,16,0.75,2,39,24,8,9,7,19
1521,ORL,14,11/21/2014,Away,CHO,W,105,100,39,82,0.476,4,16,0.25,23,32,0.719,6,43,12,2,5,8,15,42,91,0.462,7,20,0.35,9,15,0.6,10,45,22,4,7,7,26
1621,ORL,15,11/22/2014,Home,MIA,L,92,99,35,78,0.449,3,16,0.188,19,27,0.704,18,44,18,10,2,14,20,37,71,0.521,12,26,0.462,13,18,0.722,7,33,17,7,5,16,20
1721,ORL,16,11/24/2014,Away,CLE,L,74,106,29,80,0.363,5,17,0.294,11,15,0.733,13,40,14,5,3,17,17,42,81,0.519,6,16,0.375,16,22,0.727,12,44,30,14,9,12,23
1821,ORL,17,11/26/2014,Home,GSW,L,96,111,36,87,0.414,6,20,0.3,18,24,0.75,12,46,21,8,1,14,18,44,85,0.518,12,26,0.462,11,19,0.579,8,47,30,7,6,15,19
1921,ORL,18,11/28/2014,Away,IND,L,83,98,31,70,0.443,7,18,0.389,14,16,0.875,2,32,16,7,5,18,17,41,94,0.436,4,16,0.25,12,14,0.857,17,53,25,7,3,11,17
2021,ORL,19,11/30/2014,Away,PHO,W,93,90,35,76,0.461,5,15,0.333,18,25,0.72,10,47,14,8,3,22,22,34,85,0.4,7,26,0.269,15,18,0.833,11,43,22,5,3,19,18
2125,ORL,20,12/2/2014,Away,GSW,L,97,98,39,87,0.448,6,17,0.353,13,14,0.929,8,40,19,11,3,11,17,38,82,0.463,8,27,0.296,14,18,0.778,13,49,25,8,5,15,15
2223,ORL,21,12/3/2014,Away,LAC,L,86,114,33,79,0.418,7,20,0.35,13,25,0.52,6,34,21,11,2,16,24,42,78,0.538,12,31,0.387,18,25,0.72,6,44,32,11,6,17,17
2321,ORL,22,12/5/2014,Away,UTA,W,98,93,37,74,0.5,7,17,0.412,17,20,0.85,9,38,15,6,3,8,20,36,79,0.456,8,16,0.5,13,21,0.619,13,41,23,4,6,11,21
2421,ORL,23,12/6/2014,Away,SAC,W,105,96,42,83,0.506,9,26,0.346,12,14,0.857,10,40,26,4,5,10,25,35,79,0.443,4,15,0.267,22,28,0.786,9,35,22,5,2,11,16
2521,ORL,24,12/10/2014,Home,WAS,L,89,91,38,84,0.452,7,15,0.467,6,9,0.667,8,39,13,7,7,8,12,41,81,0.506,5,12,0.417,4,9,0.444,8,41,26,5,5,9,13
2621,ORL,25,12/12/2014,Away,ATL,L,81,87,30,77,0.39,9,26,0.346,12,16,0.75,9,46,14,3,4,18,27,29,78,0.372,9,29,0.31,20,27,0.741,5,42,24,12,3,12,12
2721,ORL,26,12/13/2014,Home,ATL,W,100,99,37,74,0.5,10,21,0.476,16,21,0.762,7,36,26,6,6,15,15,35,84,0.417,8,27,0.296,21,24,0.875,9,41,24,4,4,10,19
2821,ORL,27,12/15/2014,Away,TOR,L,82,95,36,74,0.486,4,15,0.267,6,8,0.75,6,36,13,5,7,19,19,37,83,0.446,11,30,0.367,10,15,0.667,12,39,25,8,4,11,14
2921,ORL,28,12/17/2014,Away,BOS,L,92,109,37,85,0.435,5,19,0.263,13,15,0.867,10,36,17,8,1,12,16,44,80,0.55,7,19,0.368,14,18,0.778,7,42,25,9,8,14,16
3021,ORL,29,12/19/2014,Home,UTA,L,94,101,37,83,0.446,12,22,0.545,8,12,0.667,9,34,28,6,2,12,22,39,73,0.534,4,11,0.364,19,24,0.792,7,42,24,4,5,15,14
3125,ORL,30,12/21/2014,Home,PHI,L,88,96,35,84,0.417,7,23,0.304,11,20,0.55,13,43,21,11,6,14,22,35,82,0.427,6,23,0.261,20,25,0.8,15,52,20,8,6,19,19
3223,ORL,31,12/23/2014,Home,BOS,W,100,95,39,83,0.47,7,18,0.389,15,23,0.652,7,45,23,7,4,14,21,33,85,0.388,7,23,0.304,22,29,0.759,9,45,22,10,4,12,21
3321,ORL,32,12/26/2014,Home,CLE,L,89,98,36,73,0.493,9,21,0.429,8,12,0.667,5,36,25,8,4,16,25,33,80,0.413,8,30,0.267,24,26,0.923,8,37,19,10,5,9,14
3421,ORL,33,12/27/2014,Away,CHO,W,102,94,38,83,0.458,8,20,0.4,18,24,0.75,5,40,22,6,4,6,18,36,86,0.419,8,24,0.333,14,18,0.778,9,41,18,2,8,10,19
3521,ORL,34,12/29/2014,Away,MIA,W,102,101,41,77,0.532,11,25,0.44,9,13,0.692,8,34,21,9,2,14,25,33,63,0.524,7,14,0.5,28,40,0.7,6,36,18,9,3,14,15
3621,ORL,35,12/30/2014,Home,DET,L,86,109,38,85,0.447,4,20,0.2,6,10,0.6,7,42,19,7,3,15,21,40,86,0.465,14,33,0.424,15,29,0.517,16,54,22,9,9,11,14
3721,ORL,36,1/2/2015,Home,BRK,L,98,100,37,88,0.42,11,22,0.5,13,20,0.65,8,37,22,13,3,11,18,41,72,0.569,7,20,0.35,11,18,0.611,4,45,26,7,5,22,16
3821,ORL,37,1/3/2015,Home,CHO,L,90,98,33,87,0.379,4,19,0.211,20,21,0.952,12,44,18,9,3,7,24,35,78,0.449,4,16,0.25,24,32,0.75,16,53,16,4,4,14,15
3921,ORL,38,1/7/2015,Away,DEN,L,90,93,35,88,0.398,8,22,0.364,12,16,0.75,10,42,21,11,2,14,24,33,74,0.446,7,17,0.412,20,26,0.769,6,47,22,5,4,21,17
4021,ORL,39,1/9/2015,Away,LAL,L,84,101,30,76,0.395,6,14,0.429,18,23,0.783,4,36,19,8,7,15,27,36,90,0.4,7,21,0.333,22,31,0.71,18,60,16,8,7,12,21
4125,ORL,40,1/10/2015,Away,POR,L,92,103,37,92,0.402,3,21,0.143,15,20,0.75,17,49,22,10,0,16,22,36,76,0.474,10,26,0.385,21,26,0.808,6,43,22,6,8,20,17
4223,ORL,41,1/12/2015,Away,CHI,W,121,114,48,81,0.593,7,18,0.389,18,29,0.621,2,34,28,10,3,10,25,41,84,0.488,8,27,0.296,24,33,0.727,11,43,25,6,5,14,20
4321,ORL,42,1/14/2015,Home,HOU,W,120,113,44,90,0.489,9,26,0.346,23,26,0.885,10,39,22,14,1,15,19,42,83,0.506,9,26,0.346,20,23,0.87,10,38,26,11,6,20,19
4421,ORL,43,1/16/2015,Home,MEM,L,96,106,36,79,0.456,9,24,0.375,15,20,0.75,5,39,22,5,4,15,22,40,87,0.46,3,14,0.214,23,29,0.793,9,47,27,8,5,11,19
4521,ORL,44,1/18/2015,Home,OKC,L,99,127,35,88,0.398,8,23,0.348,21,27,0.778,10,33,18,9,2,18,29,48,83,0.578,9,25,0.36,22,32,0.688,10,54,28,12,5,20,24
4621,ORL,45,1/21/2015,Away,DET,L,118,128,48,97,0.495,6,15,0.4,16,16,1,13,42,29,9,5,14,21,49,94,0.521,10,24,0.417,20,24,0.833,11,45,35,10,5,15,17
4721,ORL,46,1/23/2015,Away,NYK,L,106,113,44,87,0.506,7,27,0.259,11,19,0.579,8,39,27,10,4,14,19,43,91,0.473,10,25,0.4,17,21,0.81,12,49,29,6,4,14,18
4821,ORL,47,1/25/2015,Home,IND,L,99,106,38,78,0.487,6,17,0.353,17,23,0.739,3,33,22,7,5,12,21,43,83,0.518,8,20,0.4,12,18,0.667,9,47,27,8,5,14,23
4921,ORL,48,1/26/2015,Away,MEM,L,94,103,37,78,0.474,4,12,0.333,16,25,0.64,13,44,14,8,3,17,22,36,76,0.474,7,18,0.389,24,26,0.923,7,39,25,11,6,15,17
5021,ORL,49,1/29/2015,Home,MIL,L,100,115,37,82,0.451,5,18,0.278,21,30,0.7,14,49,14,8,4,23,18,45,87,0.517,12,25,0.48,13,18,0.722,7,38,29,16,8,15,24
5125,ORL,50,1/31/2015,Home,DAL,L,93,108,33,78,0.423,8,24,0.333,19,24,0.792,11,42,21,9,3,15,24,42,74,0.568,11,21,0.524,13,22,0.591,3,36,26,9,4,12,20
5223,ORL,51,2/2/2015,Away,OKC,L,97,104,38,90,0.422,6,23,0.261,15,18,0.833,14,44,23,5,1,13,21,37,75,0.493,8,20,0.4,22,26,0.846,8,40,25,10,5,13,20
5321,ORL,52,2/4/2015,Away,SAS,L,103,110,42,84,0.5,10,21,0.476,9,14,0.643,5,39,27,6,1,12,16,44,84,0.524,14,32,0.438,8,14,0.571,6,41,32,7,4,11,12
5421,ORL,53,2/6/2015,Home,LAL,W,103,97,43,83,0.518,5,15,0.333,12,14,0.857,10,48,26,9,6,18,13,39,97,0.402,11,26,0.423,8,13,0.615,15,43,27,12,8,14,13
5521,ORL,54,2/8/2015,Home,CHI,L,97,98,39,83,0.47,9,25,0.36,10,13,0.769,13,45,21,9,4,16,21,37,77,0.481,8,22,0.364,16,18,0.889,7,35,27,11,1,15,11
5621,ORL,55,2/9/2015,Away,WAS,L,80,96,33,83,0.398,4,22,0.182,10,15,0.667,8,33,18,13,6,11,24,33,77,0.429,7,25,0.28,23,27,0.852,13,53,25,7,3,20,14
5721,ORL,56,2/11/2015,Home,NYK,W,89,83,31,67,0.463,4,11,0.364,23,28,0.821,7,44,13,6,9,16,26,25,73,0.342,5,15,0.333,28,36,0.778,8,39,19,7,4,12,21
5821,ORL,57,2/20/2015,Home,NOP,W,95,84,44,88,0.5,4,18,0.222,3,6,0.5,9,42,22,4,3,9,21,29,69,0.42,5,19,0.263,21,28,0.75,7,40,21,6,6,11,11
5921,ORL,58,2/22/2015,Home,PHI,W,103,98,39,82,0.476,6,23,0.261,19,26,0.731,12,38,19,9,2,15,21,36,78,0.462,13,34,0.382,13,17,0.765,11,41,21,8,5,21,26
6021,ORL,59,2/25/2015,Home,MIA,L,90,93,33,78,0.423,6,22,0.273,18,31,0.581,12,50,17,4,1,18,28,32,84,0.381,6,31,0.194,23,32,0.719,8,42,17,8,5,12,24
6125,ORL,60,2/27/2015,Away,ATL,L,88,95,36,80,0.45,9,26,0.346,7,13,0.538,10,40,22,10,7,17,17,36,81,0.444,14,31,0.452,9,12,0.75,11,42,27,11,5,18,12
6223,ORL,61,3/1/2015,Home,CHO,L,83,98,31,85,0.365,6,15,0.4,15,20,0.75,10,44,16,8,3,11,19,40,80,0.5,8,18,0.444,10,14,0.714,7,47,22,5,4,16,17
6321,ORL,62,3/4/2015,Home,PHO,L,100,105,41,87,0.471,5,20,0.25,13,15,0.867,9,42,21,13,5,20,26,37,79,0.468,8,21,0.381,23,27,0.852,9,34,22,10,3,19,15
6421,ORL,63,3/6/2015,Home,SAC,W,119,114,48,85,0.565,13,24,0.542,10,12,0.833,8,37,29,10,5,10,24,38,85,0.447,10,27,0.37,28,38,0.737,19,43,18,6,6,14,16
6521,ORL,64,3/8/2015,Home,BOS,W,103,98,38,87,0.437,7,22,0.318,20,30,0.667,18,56,20,8,8,15,15,35,89,0.393,15,34,0.441,13,16,0.813,18,48,24,9,3,14,23
6621,ORL,65,3/10/2015,Away,IND,L,86,118,34,92,0.37,4,17,0.235,14,20,0.7,19,45,15,9,7,10,17,45,85,0.529,17,34,0.5,11,12,0.917,11,49,37,6,5,13,15
6721,ORL,66,3/11/2015,Away,MIL,L,91,97,34,85,0.4,10,18,0.556,13,13,1,9,33,21,14,4,14,18,39,79,0.494,8,18,0.444,11,16,0.688,11,51,30,7,7,22,17
6821,ORL,67,3/13/2015,Away,BOS,L,88,95,34,80,0.425,6,20,0.3,14,28,0.5,10,50,20,9,4,19,21,37,86,0.43,10,26,0.385,11,20,0.55,10,47,19,7,4,16,23
6921,ORL,68,3/15/2015,Home,CLE,L,108,123,42,88,0.477,9,19,0.474,15,27,0.556,17,44,24,10,1,13,15,45,76,0.592,18,35,0.514,15,19,0.789,3,34,26,9,6,16,21
7021,ORL,69,3/17/2015,Away,HOU,L,94,107,38,89,0.427,6,22,0.273,12,17,0.706,12,40,19,8,6,10,21,39,78,0.5,11,27,0.407,18,27,0.667,12,47,27,7,6,14,14
7125,ORL,70,3/18/2015,Away,DAL,L,102,107,40,87,0.46,9,28,0.321,13,14,0.929,11,41,28,12,5,18,24,39,80,0.488,13,31,0.419,16,24,0.667,8,40,28,7,6,20,16
7223,ORL,71,3/20/2015,Home,POR,W,111,104,43,94,0.457,5,12,0.417,20,24,0.833,18,50,22,9,1,7,22,38,80,0.475,7,24,0.292,21,24,0.875,11,44,13,4,2,13,19
7321,ORL,72,3/22/2015,Home,DEN,L,100,119,41,85,0.482,4,17,0.235,14,17,0.824,11,40,26,7,4,18,26,42,90,0.467,12,28,0.429,23,30,0.767,18,49,30,11,6,13,19
7421,ORL,73,3/25/2015,Home,ATL,L,83,95,32,78,0.41,3,16,0.188,16,20,0.8,10,42,19,7,3,17,14,39,90,0.433,10,31,0.323,7,10,0.7,12,45,21,9,8,13,17
7521,ORL,74,3/27/2015,Home,DET,L,97,111,43,82,0.524,3,15,0.2,8,8,1,8,40,31,3,2,16,24,42,90,0.467,7,18,0.389,20,27,0.741,12,41,22,10,6,5,12
7621,ORL,75,4/1/2015,Home,SAS,L,91,103,39,93,0.419,5,17,0.294,8,9,0.889,14,50,24,7,7,12,15,35,86,0.407,13,29,0.448,20,23,0.87,11,49,20,8,3,10,9
7721,ORL,76,4/3/2015,Away,MIN,W,97,84,40,92,0.435,6,21,0.286,11,17,0.647,20,53,23,12,1,19,24,29,64,0.453,1,11,0.091,25,32,0.781,3,30,15,8,6,20,17
7821,ORL,77,4/4/2015,Away,MIL,W,97,90,40,86,0.465,8,21,0.381,9,13,0.692,12,45,23,7,10,12,13,39,89,0.438,5,16,0.313,7,13,0.538,14,45,26,8,6,13,19
7921,ORL,78,4/8/2015,Home,CHI,W,105,103,38,82,0.463,8,23,0.348,21,24,0.875,13,44,21,8,3,15,19,34,79,0.43,12,26,0.462,23,31,0.742,12,41,25,9,4,15,16
8021,ORL,79,4/10/2015,Home,TOR,L,99,101,41,89,0.461,7,20,0.35,10,10,1,14,46,21,11,4,16,19,39,94,0.415,9,30,0.3,14,15,0.933,17,46,22,8,1,15,15
8122,ORL,80,4/11/2015,Home,NYK,L,79,80,30,84,0.357,6,22,0.273,13,18,0.722,11,49,15,10,4,13,18,31,82,0.378,6,20,0.3,12,13,0.923,11,46,22,3,6,15,18
8221,ORL,81,4/13/2015,Away,MIA,L,93,100,35,85,0.412,6,21,0.286,17,28,0.607,11,41,14,10,4,8,23,39,83,0.47,3,10,0.3,19,23,0.826,11,50,21,2,9,13,19
1106,ORL,82,4/15/2015,Away,BRK,L,88,101,38,79,0.481,7,20,0.35,5,13,0.385,10,42,18,6,4,17,21,39,80,0.488,9,24,0.375,14,23,0.609,7,40,25,8,5,12,12
2106,PHI,1,10/29/2014,Away,IND,L,91,103,34,89,0.382,6,21,0.286,17,30,0.567,15,42,17,10,5,11,29,38,81,0.469,8,25,0.32,19,28,0.679,14,50,22,5,13,17,24
3106,PHI,2,10/31/2014,Away,MIL,L,81,93,32,86,0.372,5,23,0.217,12,22,0.545,12,42,20,9,5,16,18,36,88,0.409,9,24,0.375,12,21,0.571,15,55,25,10,11,18,19
4106,PHI,3,11/1/2014,Home,MIA,L,96,114,35,67,0.522,7,23,0.304,19,26,0.731,4,37,28,9,10,24,21,41,83,0.494,12,24,0.5,20,29,0.69,9,35,33,16,0,16,20
5106,PHI,4,11/3/2014,Home,HOU,L,93,104,33,74,0.446,11,22,0.5,16,23,0.696,6,31,19,12,4,17,20,32,75,0.427,16,34,0.471,24,30,0.8,13,47,27,12,6,21,20
6106,PHI,5,11/5/2014,Home,ORL,L,89,91,33,77,0.429,8,25,0.32,15,23,0.652,6,38,22,12,12,20,18,39,88,0.443,3,20,0.15,10,12,0.833,14,51,14,11,3,24,20
7106,PHI,6,11/7/2014,Home,CHI,L,115,118,43,91,0.473,12,30,0.4,17,25,0.68,17,42,29,7,2,12,29,40,78,0.513,12,24,0.5,26,34,0.765,12,40,25,4,6,17,21
841,PHI,7,11/9/2014,Away,TOR,L,88,120,33,87,0.379,10,34,0.294,12,18,0.667,11,31,19,11,6,17,23,43,76,0.566,7,17,0.412,27,30,0.9,4,39,23,12,8,20,17
922,PHI,8,11/13/2014,Away,DAL,L,70,123,23,77,0.299,7,27,0.259,17,33,0.515,18,46,9,7,4,27,24,41,80,0.513,11,32,0.344,30,36,0.833,9,51,33,14,5,15,25
1022,PHI,9,11/14/2014,Away,HOU,L,87,88,34,80,0.425,7,21,0.333,12,18,0.667,14,46,19,10,5,23,28,29,78,0.372,7,34,0.206,23,37,0.622,13,47,16,17,11,21,25
1126,PHI,10,11/17/2014,Away,SAS,L,75,100,27,83,0.325,4,26,0.154,17,24,0.708,5,39,15,11,4,13,18,36,81,0.444,10,26,0.385,18,21,0.857,6,52,27,9,8,17,17
1224,PHI,11,11/19/2014,Home,BOS,L,90,101,34,86,0.395,7,21,0.333,15,21,0.714,9,44,22,10,2,15,20,41,83,0.494,6,20,0.3,13,21,0.619,7,44,32,11,4,15,19
1322,PHI,12,11/21/2014,Home,PHO,L,96,122,36,78,0.462,4,23,0.174,20,33,0.606,10,39,18,10,1,17,23,44,86,0.512,13,31,0.419,21,23,0.913,11,46,24,11,0,13,25
1422,PHI,13,11/22/2014,Away,NYK,L,83,91,30,75,0.4,8,26,0.308,15,25,0.6,10,36,13,8,1,18,21,33,66,0.5,6,17,0.353,19,21,0.905,6,40,15,7,2,18,22
1522,PHI,14,11/24/2014,Home,POR,L,104,114,42,84,0.5,0,8,0,20,24,0.833,7,29,28,11,6,10,20,44,89,0.494,7,27,0.259,19,23,0.826,18,52,30,6,5,15,19
1622,PHI,15,11/26/2014,Home,BRK,L,91,99,34,85,0.4,9,24,0.375,14,17,0.824,13,42,23,11,5,20,24,35,71,0.493,8,24,0.333,21,28,0.75,4,40,25,10,7,24,19
1722,PHI,16,11/29/2014,Home,DAL,L,103,110,36,85,0.424,6,21,0.286,25,31,0.806,22,55,26,10,4,24,26,40,89,0.449,8,30,0.267,22,30,0.733,13,40,28,13,5,12,22
1822,PHI,17,12/1/2014,Home,SAS,L,103,109,38,89,0.427,12,29,0.414,15,25,0.6,8,42,22,9,3,10,29,36,83,0.434,9,26,0.346,28,35,0.8,11,52,25,6,3,14,20
1922,PHI,18,12/3/2014,Away,MIN,W,85,77,32,82,0.39,5,24,0.208,16,25,0.64,13,49,15,12,7,18,17,30,84,0.357,3,17,0.176,14,17,0.824,11,50,17,8,5,18,21
2022,PHI,19,12/5/2014,Home,OKC,L,91,103,32,84,0.381,8,28,0.286,19,30,0.633,19,44,25,13,2,17,24,35,71,0.493,9,23,0.391,24,31,0.774,6,40,27,7,8,16,24
2126,PHI,20,12/6/2014,Away,DET,W,108,101,40,87,0.46,7,23,0.304,21,30,0.7,12,53,27,12,8,18,27,34,87,0.391,6,23,0.261,27,35,0.771,12,47,22,11,6,19,24
2224,PHI,21,12/10/2014,Away,ATL,L,79,95,30,72,0.417,6,25,0.24,13,22,0.591,7,39,21,10,10,18,18,38,91,0.418,10,30,0.333,9,13,0.692,16,52,26,15,1,14,16
2322,PHI,22,12/12/2014,Away,BRK,L,70,88,22,69,0.319,11,28,0.393,15,20,0.75,10,37,18,10,4,23,20,36,81,0.444,5,20,0.25,11,17,0.647,13,47,25,16,5,17,15
2422,PHI,23,12/13/2014,Home,MEM,L,115,120,40,82,0.488,11,28,0.393,24,34,0.706,10,45,22,11,4,16,24,45,93,0.484,11,26,0.423,19,27,0.704,9,42,33,9,4,14,24
2522,PHI,24,12/15/2014,Home,BOS,L,87,105,33,93,0.355,4,28,0.143,17,21,0.81,16,48,19,11,9,22,28,38,86,0.442,6,25,0.24,23,35,0.657,16,52,26,15,5,22,23
2622,PHI,25,12/19/2014,Home,CHO,L,91,109,32,71,0.451,12,26,0.462,15,17,0.882,2,35,23,6,12,24,17,43,98,0.439,10,24,0.417,13,17,0.765,17,45,25,10,3,14,17
2722,PHI,26,12/21/2014,Away,ORL,W,96,88,35,82,0.427,6,23,0.261,20,25,0.8,15,52,20,8,6,19,19,35,84,0.417,7,23,0.304,11,20,0.55,13,43,21,11,6,14,22
2822,PHI,27,12/23/2014,Away,MIA,W,91,87,33,77,0.429,5,19,0.263,20,27,0.741,14,42,11,13,11,16,20,33,80,0.413,8,26,0.308,13,18,0.722,14,39,13,10,6,20,19
2922,PHI,28,12/26/2014,Away,POR,L,93,114,36,81,0.444,3,14,0.214,18,33,0.545,9,42,16,13,7,18,14,42,88,0.477,18,43,0.419,12,14,0.857,9,48,25,10,8,19,22
3022,PHI,29,12/27/2014,Away,UTA,L,71,88,24,74,0.324,5,26,0.192,18,28,0.643,10,44,11,8,5,16,20,30,84,0.357,4,23,0.174,24,28,0.857,14,55,17,11,10,12,23
3126,PHI,30,12/30/2014,Away,GSW,L,86,126,33,86,0.384,6,20,0.3,14,23,0.609,18,48,16,11,2,27,16,46,82,0.561,12,28,0.429,22,27,0.815,8,42,38,19,11,14,20
3224,PHI,31,1/2/2015,Away,PHO,L,96,112,37,87,0.425,7,26,0.269,15,25,0.6,16,41,20,12,7,16,15,42,84,0.5,14,32,0.438,14,16,0.875,13,48,24,9,12,19,24
3322,PHI,32,1/3/2015,Away,LAC,L,91,127,32,79,0.405,9,25,0.36,18,26,0.692,15,45,17,7,1,21,19,46,85,0.541,15,37,0.405,20,26,0.769,9,43,33,13,3,8,19
3422,PHI,33,1/5/2015,Home,CLE,W,95,92,38,79,0.481,7,23,0.304,12,15,0.8,8,43,31,5,8,17,24,33,85,0.388,11,30,0.367,15,22,0.682,13,43,23,8,1,11,13
3522,PHI,34,1/7/2015,Home,MIL,L,77,97,25,83,0.301,2,25,0.08,25,29,0.862,15,44,14,11,6,24,19,41,76,0.539,8,17,0.471,7,11,0.636,7,43,32,14,4,24,26
3622,PHI,35,1/9/2015,Away,BRK,W,90,88,36,79,0.456,8,17,0.471,10,17,0.588,11,38,22,15,4,14,22,33,73,0.452,3,16,0.188,19,27,0.704,9,42,21,8,3,17,19
3722,PHI,36,1/10/2015,Home,IND,W,93,92,32,80,0.4,11,24,0.458,18,25,0.72,12,44,21,4,12,16,31,29,87,0.333,4,18,0.222,30,42,0.714,19,54,16,9,5,13,27
3822,PHI,37,1/13/2015,Home,ATL,L,87,105,31,76,0.408,9,25,0.36,16,25,0.64,12,35,20,8,6,18,22,42,87,0.483,12,23,0.522,9,16,0.563,15,47,34,6,3,16,17
3922,PHI,38,1/14/2015,Away,TOR,L,84,100,31,80,0.388,3,19,0.158,19,31,0.613,11,45,13,10,8,12,22,38,82,0.463,10,29,0.345,14,22,0.636,10,49,26,7,2,17,24
4022,PHI,39,1/16/2015,Home,NOP,W,96,81,36,80,0.45,7,22,0.318,17,27,0.63,9,39,22,12,10,8,20,29,75,0.387,4,17,0.235,19,29,0.655,15,55,17,5,6,18,19
4126,PHI,40,1/17/2015,Away,DET,L,89,107,38,82,0.463,7,28,0.25,6,7,0.857,10,42,24,10,5,22,16,38,88,0.432,15,35,0.429,16,19,0.842,18,47,27,16,5,16,16
4224,PHI,41,1/19/2015,Away,WAS,L,76,111,28,85,0.329,6,24,0.25,14,23,0.609,10,30,19,11,4,16,17,45,81,0.556,7,13,0.538,14,18,0.778,13,53,26,8,5,22,22
4322,PHI,42,1/21/2015,Home,NYK,L,91,98,29,79,0.367,8,23,0.348,25,32,0.781,15,43,20,7,13,14,19,37,91,0.407,7,20,0.35,17,20,0.85,18,52,26,6,6,11,22
4422,PHI,43,1/23/2015,Home,TOR,L,86,91,31,81,0.383,9,29,0.31,15,18,0.833,15,48,21,9,6,18,19,33,80,0.413,6,24,0.25,19,24,0.792,13,42,19,11,5,14,17
4522,PHI,44,1/24/2015,Away,MEM,L,83,101,31,81,0.383,9,24,0.375,12,22,0.545,15,48,18,7,2,23,19,37,79,0.468,6,14,0.429,21,25,0.84,9,47,24,10,7,18,20
4622,PHI,45,1/26/2015,Away,NOP,L,74,99,28,81,0.346,2,15,0.133,16,21,0.762,13,38,15,7,9,12,19,39,86,0.453,7,16,0.438,14,19,0.737,17,52,28,10,11,11,17
4722,PHI,46,1/28/2015,Home,DET,W,89,69,37,78,0.474,7,21,0.333,8,12,0.667,13,48,27,11,10,19,19,23,75,0.307,2,20,0.1,21,23,0.913,14,38,15,12,5,17,16
4822,PHI,47,1/30/2015,Home,MIN,W,103,94,37,74,0.5,8,23,0.348,21,25,0.84,7,34,27,13,9,14,16,34,76,0.447,5,14,0.357,21,25,0.84,11,38,24,8,4,21,18
4922,PHI,48,1/31/2015,Away,ATL,L,85,91,31,81,0.383,14,35,0.4,9,15,0.6,10,44,21,7,4,14,26,34,78,0.436,10,28,0.357,13,18,0.722,8,44,20,6,5,12,16
5022,PHI,49,2/2/2015,Away,CLE,L,84,97,31,78,0.397,12,33,0.364,10,14,0.714,11,37,23,16,7,21,22,35,78,0.449,12,27,0.444,15,22,0.682,11,43,22,8,6,18,17
5126,PHI,50,2/3/2015,Home,DEN,W,105,98,31,70,0.443,11,27,0.407,32,42,0.762,7,49,26,10,9,20,22,33,85,0.388,12,31,0.387,20,28,0.714,8,37,26,13,3,14,29
5224,PHI,51,2/6/2015,Away,BOS,L,96,107,35,79,0.443,11,25,0.44,15,31,0.484,11,44,22,6,3,17,19,39,86,0.453,10,27,0.37,19,25,0.76,11,53,27,8,4,10,24
5322,PHI,52,2/7/2015,Home,CHO,W,89,81,29,74,0.392,9,23,0.391,22,30,0.733,5,47,19,6,5,15,22,29,84,0.345,6,23,0.261,17,20,0.85,5,43,24,9,5,12,20
5422,PHI,53,2/9/2015,Home,GSW,L,84,89,33,79,0.418,7,24,0.292,11,14,0.786,10,52,21,9,4,27,19,34,85,0.4,7,29,0.241,14,19,0.737,6,40,26,15,5,14,14
5522,PHI,54,2/20/2015,Home,IND,L,95,106,34,84,0.405,8,25,0.32,19,29,0.655,15,47,18,11,11,17,20,40,83,0.482,8,22,0.364,18,22,0.818,9,44,24,13,1,15,23
